place_id,nombre,lat,lng,direccion,tipos,match_denue,nombre_denue,razon_denue,actividad_denue,colonia_denue,fuzzy_score,distancia_m,es_informal,decision_fuente,opus_confianza,opus_razon
places/ChIJgfVn7ottVo8RG9CAVVaPhvQ,"Rancho ""Los Juanes""",20.8606975,-89.6410547,,"farm,school,educational_institution,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJD58WaQBtVo8RvXZQonQz4A4,San jorge (familia A.M),20.8605356,-89.63335610000001,,"ranch,farm,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJFzQBp3ltVo8RzRmG93Eks0k,Tienda los 2 hermanos,20.842983,-89.63458,,"store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ6dRTdQBtVo8RSi6t7z0gSC4,Taller Mecánico y Eléctrico Movil,20.856894399999998,-89.6554879,,"car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJTRPFqkBtVo8RzosA4xOSP7c,Quinta Palmar,20.848886699999998,-89.65782659999999,,"park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJBY5q4q9tVo8RLlJiB4WdBwQ,Dzununcan Township Municipal Commission Building,20.865741999999997,-89.6534688,,"point_of_interest,service,local_government_office,government_office,establishment",False,SIX BODEGUITA DE DZUNUNCAN,CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,DZUNUNCAN,51.42857142857143,120.7,True,opus,alta,Edificio de comisaría municipal no es una tienda Six de cerveza. Giros incompatibles.
places/ChIJ-VRv1kNtVo8R1N0U6va4cEg,Pizza EL HOGAR,20.863414900000002,-89.65067169999999,,"pizza_restaurant,restaurant,food,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJL8Q5z9RtVo8R5IUY-tjg8eA,Hacienda Chantún,20.845187499999998,-89.642074,,"historical_landmark,historical_place,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJUQyyEihvVo8Rvprc_UcOUhc,Recinto Ferial Xmatkuil,20.8552589,-89.61504769999999,,"event_venue,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,40.0,92.7,True,opus,alta,"Recinto Ferial Xmatkuil es un centro de eventos, no una sucursal bancaria Banorte."
places/ChIJHx0n_nduVo8RIzp1ibpIUR8,Faculty of Veterinary Medicine,20.8672585,-89.6247968,,"university,academic_department,educational_institution,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJI4zdqX1uVo8RNmIP3ZZVkFw,Centro de Espectáculos Montejo,20.8574715,-89.61821909999999,,"concert_hall,auditorium,live_music_venue,event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJFaet-HduVo8RdQbASfBkqsk,UADY - Campus de Ciencias Biológicas y Agropecuarias,20.8668036,-89.6248334,,"academic_department,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJt_IHwmFuVo8R8JTkKYXsTYM,Reserva Ecológica Cuxtal,20.8559072,-89.6098561,,"nature_preserve,wildlife_refuge,park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJNV2YGX9uVo8RXaismVkkq9U,CBTA No. 13 Xmatkuil,20.8590646,-89.62328169999999,,"school,educational_institution,point_of_interest,government_office,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ4zHgdNVvVo8Ru8vfer9Dr90,Juegos mecánicos Feria Xmatkuil,20.8582328,-89.6131604,,"amusement_park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJP4ZdOABvVo8R3gp72c-O6RI,Ciudad Carnaval,20.8553973,-89.61505369999999,,"event_venue,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,33.333333333333336,77.3,True,opus,alta,"Ciudad Carnaval es un parque/centro de entretenimiento, no un banco."
places/ChIJGWdyb8NvVo8RSL8XH05W9PU,Arco de la feria Xmatkuil.,20.860031199999998,-89.6153313,,"historical_landmark,historical_place,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJg5qtzXxuVo8Rgu8wpNqSKv4,Palenque De Xmatkuil,20.858760699999998,-89.6159285,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJlW-4UwBvVo8RGaTyPE4nSCU,Arrancodromo Xmatkuil,20.859854499999997,-89.6196205,,"sports_club,association_or_organization,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ57KiAtZtVo8Rl9gGeB8AM1M,Comisaría municipal de Xmatkuil,20.8615434,-89.6247685,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJf0mYwK1vVo8RzqF6EHvhkPk,Accesos a estacionamientos de la Feria Xmatkuil.,20.859701299999998,-89.61959569999999,,"parking_lot,parking,transportation_service,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJoT7lamNuVo8RjAWNI0aNM0U,Teatro del Pueblo,20.859465699999998,-89.6144539,,"event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJu5VPNq9vVo8RCAfmqhXxDMI,Comisaría San Ignacio Tesip,20.842353499999998,-89.6117864,,"event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ24eRQwBvVo8R-kEhvgOSH-U,Estacionamiento,20.8528923,-89.6178226,,"condominium_complex,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJMQUCuzNvVo8RyneF4EebAIU,Fuente de la Feria Xmatkuil.,20.8549118,-89.61505369999999,,"tourist_attraction,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,50.0,131.2,True,opus,alta,"Fuente de la Feria es un monumento/punto de referencia, no un banco. 131m de distancia."
places/ChIJg-XgU31uVo8R59QeJWeXqnk,Paradero Centro Xmatkuil,20.8553207,-89.6160295,,"parking_lot,parking,transportation_service,service,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,45.45454545454546,127.5,True,opus,alta,Paradero de transporte no es sucursal bancaria. Giros incompatibles.
places/ChIJOX4hNGNuVo8R0bjtkuhZMaA,"Castillo de los Sueños ""Castillo Coca-cola"".",20.8590984,-89.6154717,,"performing_arts_theater,event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJbVuTllJvVo8RXZIdPBVktzs,JAPAY Planta Merida 1,20.8473927,-89.5970833,,"corporate_office,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ9wZfRWNuVo8RVtzR4yXcJBc,"Nave Ayuntamiento Merida, Feria Xmatkuil",20.8599209,-89.6150108,,"event_venue,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJhTxqUiRvVo8RoJcpuktmfzM,"Plaza principal de la Feria Xamtkuil.""K'íiwik Feria Xmatkuil""",20.8558175,-89.6150842,,"park,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,36.36363636363637,30.5,True,opus,alta,"Plaza principal de la Feria es un espacio público, no un banco. Aunque están a 31m, el banco puede estar dentro del recinto pero no son el mismo establecimiento."
places/ChIJLS7_FgBvVo8RV0ychptd8U0,Feria yucatan DiDi,20.860200199999998,-89.6152808,,"transportation_service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJyemG7a9vVo8RASxGU6I-hXY,Hacienda San Pedro Chimay,20.865423399999997,-89.57865939999999,,"service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJkWtyXKRxVo8RuL57noJpp_0,ADAPTIKA FURNITURE,20.851990699999998,-89.5687561,,"manufacturer,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJOb3Quy1vVo8RLoZbMBVeZ20,Estructuras Metalicas Titan merida yucatan,20.8520578,-89.5682003,,"manufacturer,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJJxKpgsZvVo8Rr3Ellj67h6A,Bioparque Pak’al K’aax,20.865724,-89.5896612,,"park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJCXtNk7hvVo8R2izYwvk_26Y,POLVORIN DEPSA,20.8471694,-89.58511260000002,,"lodging,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJT2pCpq9vVo8RQ2x-EjIU7zU,Jardin De Niños Nachi Cocom,20.8640529,-89.57925329999999,,"preschool,child_care_agency,school,educational_institution,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJcQgGcARvVo8RbJ0R1Pmdbgs,Expendio Viktoria,20.863061599999998,-89.57939999999999,,"store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJYWRpu2dvVo8RK4hTvIOFXDk,GRUPO DIPOPAH,20.8591403,-89.57104489999999,,"wholesaler,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJvbYMRJBvVo8Rk-deUgMJ_Q4,Comisaría Municipal de San Pedro Chimay,20.865522199999997,-89.5796969,,"government_office,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJD2KtJq9vVo8Rl7DVVCOL_4U,EMILIANO ZAPATA,20.8617414,-89.5800883,,"educational_institution,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ8-m1VQBvVo8RWq1ikeMgy_M,Crea Algo Bonito,20.864763699999997,-89.5814771,,"manufacturer,service,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJn4MX6OdvVo8RqmSc-OA6TlE,Iglesia católica San Pedro y San Pablo,20.8648561,-89.5798409,,"church,place_of_worship,association_or_organization,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJhdzdqxlvVo8RkSTISaQGFPo,Tiendas Six,20.865703,-89.5813555,,"liquor_store,grocery_store,food_store,food,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJs_mEXABvVo8RmDEMBlb3XEs,Quinta la vanidosa,20.844203399999998,-89.60248349999999,,"condominium_complex,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ4SjbzzhvVo8RTkM7cVbKBU0,Molino y Tortillería La Guadalupana,20.8599994,-89.5977561,,"food_store,food,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJqeucRadvVo8Rmhg9QAAEETs,"Ferrotlapaleria ""Emmanuel""",20.865874299999998,-89.5804331,,"building_materials_store,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJVbuLH-xvVo8RneMiCISuggA,Pollos San Rafael,20.861018299999998,-89.60011349999999,,"ranch,manufacturer,food,farm,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJuXFuBK9vVo8RYGqZdZLZaFY,Tienda Wicel,20.8632292,-89.58007479999999,,"store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJSQ2SI-dvVo8R8o2rrwljeSc,Quinta Margarita María,20.848611899999998,-89.59796399999999,,"playground,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJj64DnzJvVo8RcbJOC8N7QLA,Sovic constructora,20.8528914,-89.5676319,,"service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJhxvAc5BvVo8R2736Nwd3Akk,Rancho EL ENCUENTRO,20.8621813,-89.5722483,,"farm,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJpyMwT3VvVo8RfDj_pEfgFPI,Mini Super Mi Ranchito,20.8535213,-89.5680465,,"store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJETGiJlpvVo8RPcr4QNEWjjI,Villa Claudina. Casa de Campo,20.8629107,-89.57217089999999,,"garden,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJcYsIQX1vVo8Rcb0RqlZMDTY,Rancho San Enrique,20.8449191,-89.5635288,,"ranch,government_office,food,farm,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ8T_SzI1vVo8R4TxZLjOOCvA,Rancho Gema,20.8578622,-89.5709392,,"farm,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJGX9LcAhvVo8RDxuKWQfamdY,Fam Soberanis,20.863960499999997,-89.5746466,,"garden,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJE5YEelpvVo8RdLFBEFaY2QQ,Rancho los Laureles,20.860239399999998,-89.57077199999999,,"association_or_organization,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJlxQX6i1vVo8RdLNdgf_W_rM,El rosario,20.8421523,-89.5634728,,"health,consultant,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJSRrUMQBvVo8Rdnc5mqrCgUU,La Sagrada Familia,20.8468704,-89.56470259999999,,"private_guest_room,lodging,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ315KZQBvVo8RWjcN1OtCHFY,Chen Ox Granja Agroecológica,20.8643668,-89.57668579999999,,"farm,school,educational_institution,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ63EqKKVvVo8RQoC8cnEwU2Q,Rancho El encanto,20.8622393,-89.5660431,,"playground,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ3WeyBwBvVo8RkNUUSN1r7oQ,Rancho Los Faraones,20.8537152,-89.56806139999999,,"housing_complex,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJaxWAZOJtVo8R_1POVtY_fZk,Fracc. Santa Cruz Norte,20.881681099999998,-89.67313050000001,,"service,point_of_interest,establishment",False,SIX SANTA CRUZ,,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",SANTA CRUZ NORTE,83.33333333333333,119.6,True,opus,media,"Fracc. Santa Cruz Norte es el nombre del fraccionamiento/colonia, no de un negocio. El fuzzy score alto se debe a coincidencia de nombre de colonia, no de establecimiento."
places/ChIJnwPBCgBtVo8RYeiU3--zWjY,Ticimul,20.8825432,-89.6868642,,"housing_complex,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ_9NrrgNtVo8RdBNq3KuC3nw,Logística Togua,20.8847295,-89.6894416,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJpcpnGCttVo8RPbtESOo0hQc,"Cochinita ""EL CAPI""",20.8829942,-89.6748654,,"butcher_shop,food_store,food,manufacturer,store,service,point_of_interest,establishment",False,TIENDA DE ABARROTES 5 ESRELLAS,,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",SANTA CRUZ NORTE,46.666666666666664,37.2,True,opus,alta,"Cochinita El Capi es puesto de cochinita pibil, no tienda de abarrotes. Giros distintos."
places/ChIJ-d8YOwBtVo8RzetlFE3n-ug,Grupo Zamudio,20.8628532,-89.6815895,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJF6739j5tVo8R0cx-WZOql3U,ECISA Construcciones- Planta Mérida,20.874887899999997,-89.6840381,,"manufacturer,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJkw910UZtVo8Rb8G1S6Vm9QE,Panadería boxito,20.8817412,-89.67488949999999,,"bakery,food_store,food,store,point_of_interest,establishment",True,PANADERIA Y PIZZERIA BOXITO,,Panificación tradicional,SANTA CRUZ NORTE,74.07407407407408,7.6,False,opus,alta,"Panadería Boxito coincide con Panadería y Pizzería Boxito. Mismo nombre, mismo giro (panificación), solo 8m de distancia."
places/ChIJ0_BhLkBtVo8R3_prR-7oxPQ,Parque Central,20.881377,-89.6820644,,"park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJCwKFJUBtVo8RqPDKlVZ_8iw,Hacienda Ticimul Spa,20.8808911,-89.68190580000001,,"health,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ1cx2UEBtVo8R6jD-S6gDQFE,concreto,20.8810796,-89.6834375,,"corporate_office,point_of_interest,establishment",False,YUC SIX LOUIS,CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,HACIENDA TICIMUL,71.42857142857143,93.9,True,opus,alta,"""Concreto"" parece referencia a material de construcción, no a una tienda Six de cerveza. Nombres y giros incompatibles."
places/ChIJ068ZaJNtVo8RjSuM-zI4IfU,Tiendas Six,20.882714,-89.672975,,"liquor_store,grocery_store,food_store,food,store,point_of_interest,establishment",False,TIENDA DE ABARROTES 7 ENANOS,,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",SANTA CRUZ NORTE,77.77777777777779,7.3,True,opus,media,"Tiendas Six es cadena de cervecerías, Tienda de Abarrotes 7 Enanos es miscelánea. Aunque ambos son comercio minorista y están a 7m, Six vende cerveza específicamente y el nombre no coincide. Son establecimientos distintos aunque cercanos."
places/ChIJOZvhpCBtVo8R754KE-_ysgg,Tienda Roy &Jimena,20.8823416,-89.6732557,,"home_goods_store,store,point_of_interest,establishment",True,TIENDA DE ABARROTES ROY,,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",SANTA CRUZ NORTE,71.42857142857143,12.6,False,opus,alta,"El nombre 'Roy' coincide en ambos registros, misma actividad comercial y solo 13m de distancia"
places/ChIJmbLehsQLVo8R2SMQUo5ziWc,"Limpieza de fosas sépticas, sumideros, pozos SERVICIO REJÓN",20.873806899999998,-89.6847466,,"service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJq45RqmhtVo8Rxz7620qsWiY,Mool Agregados,20.8608521,-89.6820978,,"service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJb1RbegBtVo8RTrl9Hp44w-E,Grupo Vive,20.881911799999997,-89.6729708,,"government_office,point_of_interest,establishment",True,GRUPO VIVE DESARROLLO DEL SURESTE,GRUPO VIVE DESAROLLO DEL SURESTE SA DE CV,Edificación de vivienda unifamiliar,FRACC SANTA CRUZ NORTE,100.0,14.8,False,fuzzy_directo,,
places/ChIJZRgMkxVtVo8RMwQ90w0Pg0Y,Mini super San carlos,20.8819961,-89.6845317,,"grocery_store,food_store,food,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJHZJq8JdtVo8RGZabRzYUPAg,Hacienda Santa Cruz,20.8796538,-89.65332599999999,,"hotel,lodging,spa,restaurant,food,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJRaDDUhdtVo8RlDIXbN0UhMQ,DESECHABLES POLIYUCA CEDIS.,20.879885899999998,-89.65600979999999,,"convenience_store,supplier,manufacturer,food_store,store,food,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ_aO9gVxtVo8REpKbJKscL70,Comercializadora La Chinita Dzununcan,20.8675583,-89.65472749999999,,"general_store,food_store,store,food,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJs-OnFdltVo8RFkQ0-kkFWnM,FULL SERVICE MECÁNICA DIESEL,20.8772278,-89.6527254,,"car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJxR4eHbBtVo8RHV1doaB23AA,Dzununcan Ejidal Commission,20.866264299999997,-89.6532196,,"government_office,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJGRT46XptVo8REJzoJGIXZco,Martillos Hidráulicos de la Península MHP,20.8683002,-89.6505176,,"car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ2fFUHJhtVo8R2StvJmFoN6E,Parque Comisaria Santa Cruz,20.8795325,-89.6537543,,"park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
