place_id,nombre,lat,lng,direccion,tipos,match_denue,nombre_denue,razon_denue,actividad_denue,colonia_denue,fuzzy_score,distancia_m,es_informal,decision_fuente,opus_confianza,opus_razon,colonia_geo,cp_geo,tipo_colonia
places/ChIJv8mYJABtVo8Rgpkxkl6Txd0,Xcucul hacienda,20.8641339,-89.65694340000002,,"ranch,farm,point_of_interest,service,establishment",False,FARMACIA SIMILARES DZUNUNCAN,RENA COMERCIALIZADORA SA DE CV,Farmacias sin minisúper,DZUNUNCAN,40.0,149.9,True,opus,alta,"Xcucul hacienda es un sitio histórico, no una farmacia. 150m de distancia y giros incompatibles.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ5UUfZABtVo8RcyybxG97Kig,Jamybo,20.859055899999998,-89.6627082,,"garden,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJd7bnmwhtVo8RlmA-VOCgNtk,ALMED CARPINTERIA,20.854573,-89.6712239,,"manufacturer,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJedC3EedtVo8R82lfXZW4KyU,Chatarreria LA BODEGA,20.8641875,-89.6586875,,"point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ6xeMylRtVo8RfWBEcd8MsMk,Taller KONE,20.8596565,-89.6708926,,"car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJn65Qqa9tVo8R3KbyvFbuTqM,Cocina Toñita,20.864330499999998,-89.6553383,,"restaurant,food,point_of_interest,establishment",False,FARMACIA SIMILARES DZUNUNCAN,RENA COMERCIALIZADORA SA DE CV,Farmacias sin minisúper,DZUNUNCAN,53.84615384615385,36.4,True,opus,alta,"Cocina Toñita es un negocio de comida, Farmacia Similares es farmacia. Giros completamente distintos.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJie_UbNFtVo8R0oLPvflKGiM,Seminario Bautista Piedra Angular,20.86234,-89.631479,,"educational_institution,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ8xcKKg1tVo8RGQoLIbwyQvc,Fragranzhub,20.8649746,-89.65148820000002,,"cosmetics_store,clothing_store,store,point_of_interest,establishment",False,SIX BODEGUITA DE DZUNUNCAN,CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,DZUNUNCAN,36.36363636363637,116.6,True,opus,alta,"Fragranzhub (perfumería/fragancias) no es Six (cervecería). Nombres y giros distintos, 117m.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJeRtkkoltVo8R2JlpLwrX9Sw,Quinta: Villa Romina,20.860045,-89.64277039999999,,"event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJiwFeWVFtVo8RCHc9Lf790wQ,Vivero Lol Pak'al,20.862670299999998,-89.64676779999999,,"garden_center,store,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJgfVn7ottVo8RG9CAVVaPhvQ,"Rancho ""Los Juanes""",20.8606975,-89.6410547,,"farm,school,educational_institution,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJD58WaQBtVo8RvXZQonQz4A4,San jorge (familia A.M),20.8605356,-89.63335610000001,,"ranch,farm,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJFzQBp3ltVo8RzRmG93Eks0k,Tienda los 2 hermanos,20.842983,-89.63458,,"store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ6dRTdQBtVo8RSi6t7z0gSC4,Taller Mecánico y Eléctrico Movil,20.856894399999998,-89.6554879,,"car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJTRPFqkBtVo8RzosA4xOSP7c,Quinta Palmar,20.848886699999998,-89.65782659999999,,"park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJBY5q4q9tVo8RLlJiB4WdBwQ,Dzununcan Township Municipal Commission Building,20.865741999999997,-89.6534688,,"point_of_interest,service,local_government_office,government_office,establishment",False,SIX BODEGUITA DE DZUNUNCAN,CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,DZUNUNCAN,51.42857142857143,120.7,True,opus,alta,Edificio de comisaría municipal no es una tienda Six de cerveza. Giros incompatibles.,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ-VRv1kNtVo8R1N0U6va4cEg,Pizza EL HOGAR,20.863414900000002,-89.65067169999999,,"pizza_restaurant,restaurant,food,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJL8Q5z9RtVo8R5IUY-tjg8eA,Hacienda Chantún,20.845187499999998,-89.642074,,"historical_landmark,historical_place,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJUQyyEihvVo8Rvprc_UcOUhc,Recinto Ferial Xmatkuil,20.8552589,-89.61504769999999,,"event_venue,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,40.0,92.7,True,opus,alta,"Recinto Ferial Xmatkuil es un centro de eventos, no una sucursal bancaria Banorte.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJHx0n_nduVo8RIzp1ibpIUR8,Faculty of Veterinary Medicine,20.8672585,-89.6247968,,"university,academic_department,educational_institution,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJI4zdqX1uVo8RNmIP3ZZVkFw,Centro de Espectáculos Montejo,20.8574715,-89.61821909999999,,"concert_hall,auditorium,live_music_venue,event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJFaet-HduVo8RdQbASfBkqsk,UADY - Campus de Ciencias Biológicas y Agropecuarias,20.8668036,-89.6248334,,"academic_department,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJt_IHwmFuVo8R8JTkKYXsTYM,Reserva Ecológica Cuxtal,20.8559072,-89.6098561,,"nature_preserve,wildlife_refuge,park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJNV2YGX9uVo8RXaismVkkq9U,CBTA No. 13 Xmatkuil,20.8590646,-89.62328169999999,,"school,educational_institution,point_of_interest,government_office,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ4zHgdNVvVo8Ru8vfer9Dr90,Juegos mecánicos Feria Xmatkuil,20.8582328,-89.6131604,,"amusement_park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJP4ZdOABvVo8R3gp72c-O6RI,Ciudad Carnaval,20.8553973,-89.61505369999999,,"event_venue,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,33.333333333333336,77.3,True,opus,alta,"Ciudad Carnaval es un parque/centro de entretenimiento, no un banco.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJGWdyb8NvVo8RSL8XH05W9PU,Arco de la feria Xmatkuil.,20.860031199999998,-89.6153313,,"historical_landmark,historical_place,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJg5qtzXxuVo8Rgu8wpNqSKv4,Palenque De Xmatkuil,20.858760699999998,-89.6159285,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJlW-4UwBvVo8RGaTyPE4nSCU,Arrancodromo Xmatkuil,20.859854499999997,-89.6196205,,"sports_club,association_or_organization,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ57KiAtZtVo8Rl9gGeB8AM1M,Comisaría municipal de Xmatkuil,20.8615434,-89.6247685,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJf0mYwK1vVo8RzqF6EHvhkPk,Accesos a estacionamientos de la Feria Xmatkuil.,20.859701299999998,-89.61959569999999,,"parking_lot,parking,transportation_service,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJoT7lamNuVo8RjAWNI0aNM0U,Teatro del Pueblo,20.859465699999998,-89.6144539,,"event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJu5VPNq9vVo8RCAfmqhXxDMI,Comisaría San Ignacio Tesip,20.842353499999998,-89.6117864,,"event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJ24eRQwBvVo8R-kEhvgOSH-U,Estacionamiento,20.8528923,-89.6178226,,"condominium_complex,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJMQUCuzNvVo8RyneF4EebAIU,Fuente de la Feria Xmatkuil.,20.8549118,-89.61505369999999,,"tourist_attraction,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,50.0,131.2,True,opus,alta,"Fuente de la Feria es un monumento/punto de referencia, no un banco. 131m de distancia.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJg-XgU31uVo8R59QeJWeXqnk,Paradero Centro Xmatkuil,20.8553207,-89.6160295,,"parking_lot,parking,transportation_service,service,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,45.45454545454546,127.5,True,opus,alta,Paradero de transporte no es sucursal bancaria. Giros incompatibles.,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJOX4hNGNuVo8R0bjtkuhZMaA,"Castillo de los Sueños ""Castillo Coca-cola"".",20.8590984,-89.6154717,,"performing_arts_theater,event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJbVuTllJvVo8RXZIdPBVktzs,JAPAY Planta Merida 1,20.8473927,-89.5970833,,"corporate_office,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJ9wZfRWNuVo8RVtzR4yXcJBc,"Nave Ayuntamiento Merida, Feria Xmatkuil",20.8599209,-89.6150108,,"event_venue,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJhTxqUiRvVo8RoJcpuktmfzM,"Plaza principal de la Feria Xamtkuil.""K'íiwik Feria Xmatkuil""",20.8558175,-89.6150842,,"park,point_of_interest,establishment",False,BANORTE IXE,BANCO BANORTE IXE ,Banca múltiple,XMATKUIL,36.36363636363637,30.5,True,opus,alta,"Plaza principal de la Feria es un espacio público, no un banco. Aunque están a 31m, el banco puede estar dentro del recinto pero no son el mismo establecimiento.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJLS7_FgBvVo8RV0ychptd8U0,Feria yucatan DiDi,20.860200199999998,-89.6152808,,"transportation_service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJyemG7a9vVo8RASxGU6I-hXY,Hacienda San Pedro Chimay,20.865423399999997,-89.57865939999999,,"service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJkWtyXKRxVo8RuL57noJpp_0,ADAPTIKA FURNITURE,20.851990699999998,-89.5687561,,"manufacturer,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJOb3Quy1vVo8RLoZbMBVeZ20,Estructuras Metalicas Titan merida yucatan,20.8520578,-89.5682003,,"manufacturer,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJJxKpgsZvVo8Rr3Ellj67h6A,Bioparque Pak’al K’aax,20.865724,-89.5896612,,"park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJCXtNk7hvVo8R2izYwvk_26Y,POLVORIN DEPSA,20.8471694,-89.58511260000002,,"lodging,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJT2pCpq9vVo8RQ2x-EjIU7zU,Jardin De Niños Nachi Cocom,20.8640529,-89.57925329999999,,"preschool,child_care_agency,school,educational_institution,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJcQgGcARvVo8RbJ0R1Pmdbgs,Expendio Viktoria,20.863061599999998,-89.57939999999999,,"store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJYWRpu2dvVo8RK4hTvIOFXDk,GRUPO DIPOPAH,20.8591403,-89.57104489999999,,"wholesaler,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJvbYMRJBvVo8Rk-deUgMJ_Q4,Comisaría Municipal de San Pedro Chimay,20.865522199999997,-89.5796969,,"government_office,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJD2KtJq9vVo8Rl7DVVCOL_4U,EMILIANO ZAPATA,20.8617414,-89.5800883,,"educational_institution,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ8-m1VQBvVo8RWq1ikeMgy_M,Crea Algo Bonito,20.864763699999997,-89.5814771,,"manufacturer,service,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJn4MX6OdvVo8RqmSc-OA6TlE,Iglesia católica San Pedro y San Pablo,20.8648561,-89.5798409,,"church,place_of_worship,association_or_organization,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJhdzdqxlvVo8RkSTISaQGFPo,Tiendas Six,20.865703,-89.5813555,,"liquor_store,grocery_store,food_store,food,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJs_mEXABvVo8RmDEMBlb3XEs,Quinta la vanidosa,20.844203399999998,-89.60248349999999,,"condominium_complex,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJ4SjbzzhvVo8RTkM7cVbKBU0,Molino y Tortillería La Guadalupana,20.8599994,-89.5977561,,"food_store,food,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJqeucRadvVo8Rmhg9QAAEETs,"Ferrotlapaleria ""Emmanuel""",20.865874299999998,-89.5804331,,"building_materials_store,store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJVbuLH-xvVo8RneMiCISuggA,Pollos San Rafael,20.861018299999998,-89.60011349999999,,"ranch,manufacturer,food,farm,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJuXFuBK9vVo8RYGqZdZLZaFY,Tienda Wicel,20.8632292,-89.58007479999999,,"store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJSQ2SI-dvVo8R8o2rrwljeSc,Quinta Margarita María,20.848611899999998,-89.59796399999999,,"playground,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJj64DnzJvVo8RcbJOC8N7QLA,Sovic constructora,20.8528914,-89.5676319,,"service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJhxvAc5BvVo8R2736Nwd3Akk,Rancho EL ENCUENTRO,20.8621813,-89.5722483,,"farm,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJpyMwT3VvVo8RfDj_pEfgFPI,Mini Super Mi Ranchito,20.8535213,-89.5680465,,"store,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJETGiJlpvVo8RPcr4QNEWjjI,Villa Claudina. Casa de Campo,20.8629107,-89.57217089999999,,"garden,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJcYsIQX1vVo8Rcb0RqlZMDTY,Rancho San Enrique,20.8449191,-89.5635288,,"ranch,government_office,food,farm,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJ8T_SzI1vVo8R4TxZLjOOCvA,Rancho Gema,20.8578622,-89.5709392,,"farm,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJGX9LcAhvVo8RDxuKWQfamdY,Fam Soberanis,20.863960499999997,-89.5746466,,"garden,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJE5YEelpvVo8RdLFBEFaY2QQ,Rancho los Laureles,20.860239399999998,-89.57077199999999,,"association_or_organization,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJlxQX6i1vVo8RdLNdgf_W_rM,El rosario,20.8421523,-89.5634728,,"health,consultant,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJSRrUMQBvVo8Rdnc5mqrCgUU,La Sagrada Familia,20.8468704,-89.56470259999999,,"private_guest_room,lodging,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJ315KZQBvVo8RWjcN1OtCHFY,Chen Ox Granja Agroecológica,20.8643668,-89.57668579999999,,"farm,school,educational_institution,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ63EqKKVvVo8RQoC8cnEwU2Q,Rancho El encanto,20.8622393,-89.5660431,,"playground,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ3WeyBwBvVo8RkNUUSN1r7oQ,Rancho Los Faraones,20.8537152,-89.56806139999999,,"housing_complex,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzoyaxché / San Ignacio Tesip / Yaxnic,97316,
places/ChIJaxWAZOJtVo8R_1POVtY_fZk,Fracc. Santa Cruz Norte,20.881681099999998,-89.67313050000001,,"service,point_of_interest,establishment",False,SIX SANTA CRUZ,,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",SANTA CRUZ NORTE,83.33333333333333,119.6,True,opus,media,"Fracc. Santa Cruz Norte es el nombre del fraccionamiento/colonia, no de un negocio. El fuzzy score alto se debe a coincidencia de nombre de colonia, no de establecimiento.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJnwPBCgBtVo8RYeiU3--zWjY,Ticimul,20.8825432,-89.6868642,,"housing_complex,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJ_9NrrgNtVo8RdBNq3KuC3nw,Logística Togua,20.8847295,-89.6894416,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJpcpnGCttVo8RPbtESOo0hQc,"Cochinita ""EL CAPI""",20.8829942,-89.6748654,,"butcher_shop,food_store,food,manufacturer,store,service,point_of_interest,establishment",False,TIENDA DE ABARROTES 5 ESRELLAS,,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",SANTA CRUZ NORTE,46.666666666666664,37.2,True,opus,alta,"Cochinita El Capi es puesto de cochinita pibil, no tienda de abarrotes. Giros distintos.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ-d8YOwBtVo8RzetlFE3n-ug,Grupo Zamudio,20.8628532,-89.6815895,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJF6739j5tVo8R0cx-WZOql3U,ECISA Construcciones- Planta Mérida,20.874887899999997,-89.6840381,,"manufacturer,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJ0_BhLkBtVo8R3_prR-7oxPQ,Parque Central,20.881377,-89.6820644,,"park,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJCwKFJUBtVo8RqPDKlVZ_8iw,Hacienda Ticimul Spa,20.8808911,-89.68190580000001,,"health,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
